Text,Group,Region,Dimension,Type,Theme,Priority
Fear of population responsibility,1,Bxl,SG,Barrier,Locoregional population approach,0
Alternative funding systems: such as flat rate system,1,Bxl,SG,Facilitator,Alternative funding logic,0
Multi-annual budget planning (federal): cross-cutting projects,1,Bxl,SG,Facilitator,Alternative funding logic,0
Availability of integrated communication means beforehand,1,Bxl,SG,Barrier,Alternative funding logic,0
Results not reported,1,Bxl,EM,Barrier,Communication of results,0
Ensuring that the wheel is not reinvented in every region,1,Bxl,EM,Barrier,Communication of results,0
"Need for methodology database, standard care pathways, guidelines. role Vivel, cebam, health and science. Expertise organisations",1,Bxl,EM,Facilitator,Difficult and complex way of evaluation (also focus),0
"More commonality makes it easier to evaluate, best practices to be implemented everywhere",1,Bxl,EM,Facilitator,Difficult and complex way of evaluation (also focus),0
"Need for sufficient commonality, steering of best practices",1,Bxl,EM,Facilitator,Difficult and complex way of evaluation (also focus),0
Integrated care projects: no clearly defined criteria beforehand (like many pilot projects),1,Bxl,EM,Barrier,Difficult and complex way of evaluation (also focus),0
Often complex and fragmented ways of evaluation,1,Bxl,EM,Barrier,Difficult and complex way of evaluation (also focus),0
Many actions that cannot always be evaluated,1,Bxl,EM,Barrier,Difficult and complex way of evaluation (also focus),0
Examining whether there is enough in it for the patient. It is good to promote more cooperation between healthcare providers. But there must be added value for the patient,1,Bxl,EM,Barrier,Difficult and complex way of evaluation (also focus),0
Evaluation before the start of integrated care initiatives is often not included,1,Bxl,EM,Barrier,Taking into account of results,0
Non-communicating databases,1,Bxl,EM,Barrier,Availability of information,0
Be.Hive and Academie voor de eerste lijn,1,Bxl,EM,Facilitator,,0
"Evaluation of processes, not just results",1,Bxl,EM,Facilitator,"Goal and development of the evaluation (processes, mindshift)",1
Realise that this is not an end point but a mind shift,1,Bxl,EM,Facilitator,"Goal and development of the evaluation (processes, mindshift)",1
Working on structural adjustments,1,Bxl,EM,Facilitator,"Goal and development of the evaluation (processes, mindshift)",1
"Integrated care is a complex intervention that is difficult to measure on its own, as initiatives are integrated into the already existing care process",1,Bxl,EM,Barrier,"Goal and development of the evaluation (processes, mindshift)",1
Realistic evaluation not always taken into account by the subsidiary authorities,1,Bxl,EM,Barrier,"Goal and development of the evaluation (processes, mindshift)",1
specialised services for vulnerable population,2,Bxl,PA,Facilitator,Population approach for risk groups,1
Inclusion of 'out-of-territory' populations: migrant in transit/ homeless type,2,Bxl,PA,Barrier,Population approach for risk groups,1
small numbers scattered over many more specialised structures,2,Bxl,PA,Barrier,Population approach for risk groups,1
Numerous and diversified associative sector,2,Bxl,PA,Facilitator,Connection (or not) between numerous structures,0
discussion and collaboration between services,2,Bxl,PA,Facilitator,Connection (or not) between numerous structures,0
Medical house network,2,Bxl,PA,Facilitator,Connection (or not) between numerous structures,0
Social dialogue health/functional,2,Bxl,PA,Facilitator,Connection (or not) between numerous structures,0
Existence of a specific structure in relation to populations,2,Bxl,PA,Facilitator,Connection (or not) between numerous structures,0
multiplicity of services (type and number),2,Bxl,PA,Barrier,Connection (or not) between numerous structures,1
Regional and federal political will,2,Bxl,PA,Facilitator,Levels of competence and willingness between entities (federal and federated),1
logic of performance funding (vs. forfetary),2,Bxl,PA,Barrier,Incentives and funding,2
"Limited ELZ funding, few available FTEs",2,Bxl,PA,Barrier,Incentives and funding,0
Censuses and surveys that specify the population,2,Bxl,PA,Facilitator,Data (availability and connection and by territory),0
Lack of recent data,2,Bxl,PA,Barrier,Data (availability and connection and by territory),0
little data available at district/neighborhood level,2,Bxl,PA,Barrier,Data (availability and connection and by territory),0
Lack of data around well-being,2,Bxl,PA,Barrier,Data (availability and connection and by territory),0
Covid vaccination in places of living and socialisation,2,Bxl,PA,Facilitator,COVID experience,0
COVID vaccination experiences,2,Bxl,PA,Facilitator,COVID experience,0
Lack of competences,2,Bxl,PA,Barrier,,0
Broad range of possible indicators for dashboard,2,Bxl,PA,Barrier,,0
Different authorities with partly overlapping plans,2,Bxl,PA,Barrier,,0
Language barriers,2,Bxl,PA,Barrier,,0
"Prevention is not at the top of the policy agenda. In words, not in means",2,Bxl,PA,Barrier,,0
Population at risk dispersed over several territories,2,Bxl,PA,Barrier,,0
Cultural barriers,2,Bxl,PA,Barrier,,0
Population at risk combines several factors that exclude them from certain services,2,Bxl,PA,Barrier,,0
There are few stratification possibilities in the available databases (especially for vulnerable groups),2,Bxl,PA,Barrier,,0
Population at risk not identified as such,2,Bxl,PA,Barrier,,0
Regional structures that have difficulty connecting to territories,2,Bxl,PA,Barrier,,0
"Care coordinators may be necessary to monitor the overview of integrated care, who is responsible?",2,Bxl,PA,Barrier,,0
"Fee for service is deadly for integrated care (on the other hand, when funding for care pathway, how to implement it in practice and pay staff)",2,Bxl,PA,Barrier,,0
Difficulty in creating a network,2,Bxl,PA,Barrier,,0
Different levels of competence,2,Bxl,PA,Barrier,,0
Link with hospitals and second line care,2,Bxl,PA,Barrier,,0
Is there sufficient clarity on the definitions and descriptions of the target groups?,2,Bxl,PA,Barrier,,0
Independent' professional without communication resources,2,Bxl,PA,Barrier,,0
"Population at risk enters the system via different inputs (social, medical, psych, etc)",2,Bxl,PA,Barrier,,0
Isolated person with loss of autonomy disconnected from his territory,2,Bxl,PA,Barrier,,0
Too many actors makes it impossible for the public to understand,2,Bxl,PA,Barrier,,0
Fee for service hinders innovation in care,2,Bxl,PA,Barrier,,0
Creation of a professional network,2,Bxl,PA,Facilitator,,0
Neighbourhood approach in many policy plans,2,Bxl,PA,Facilitator,,0
"Experiences from existing projects, collaborations",2,Bxl,PA,Facilitator,,0
"Examples of integrated care pathways such as Group Care are feasible in practice, pilot projects show this",2,Bxl,PA,Facilitator,,0
Community facilitators,2,Bxl,PA,Facilitator,,0
Health literacy (to make the message accessible to different social groups),2,Bxl,PA,Facilitator,,0
The experiences of the pandemic can give a boost,2,Bxl,PA,Facilitator,,0
Providing sufficient resources,2,Bxl,PA,Facilitator,,0
Support offer for care councils from Vivel (to be further developed in the coming years),2,Bxl,PA,Facilitator,,0
Recent initiatives to develop dashboards,2,Bxl,PA,Facilitator,,0
Different registration systems,2,Bxl,DI,Barrier,"Lack of standards, interoperability",0
Lack of standards,2,Bxl,DI,Barrier,"Lack of standards, interoperability",1
Clear definition of standards to be met by IT packages,2,Bxl,DI,Barrier,"Lack of standards, interoperability",0
Incompatible computer software,2,Bxl,DI,Barrier,"Lack of standards, interoperability",0
Enable interoperability between files,2,Bxl,DI,Barrier,"Lack of standards, interoperability",0
Multitude of different applications,2,Bxl,DI,Barrier,"Lack of standards, interoperability",1
"Interface between applications always requires a lot of tuning / development work, no standard",2,Bxl,DI,Barrier,"Lack of standards, interoperability",0
Relevant / targeted data,2,Bxl,DI,Facilitator,Lack of digital competences,0
Support population in use/view of own file,2,Bxl,DI,Facilitator,Lack of digital competences,0
Several projects show that data sharing is possible,2,Bxl,DI,Facilitator,Lack of digital competences,0
Allowing the patient to participate actively in the digital care process,2,Bxl,DI,Facilitator,Lack of digital competences,0
Incentives (e.g. practical bonus) - could be much broader,2,Bxl,DI,Facilitator,Lack of resources,2
Provided with sufficient resources,2,Bxl,DI,Facilitator,Lack of resources,2
Digitisation is not cheap,2,Bxl,DI,Barrier,Lack of resources,2
Insufficient funds,2,Bxl,DI,Barrier,Lack of resources,2
Licence costs of all licences needed can be high,2,Bxl,DI,Barrier,Lack of resources,2
Imbalance between hospital and front-line tools (budget/...),2,Bxl,DI,Barrier,Lack of resources,2
The technology is there and it works,2,Bxl,DI,Facilitator,Technical capabilities,0
Better technical possibilities,2,Bxl,DI,Facilitator,Technical capabilities,0
Technically many possibilities for electronic files to communicate,2,Bxl,DI,Facilitator,Technical capabilities,0
Technical barriers,2,Bxl,DI,Barrier,Technical capabilities,0
Time needed for change,2,Bxl,DI,Barrier,Inertion,0
The inertia of governments,2,Bxl,DI,Barrier,Inertion,0
Lack of means to digitise certain sectors,2,Bxl,DI,Barrier,Inertion,0
Different levels of competence,2,Bxl,DI,Barrier,Fragmentation of competences,3
Fragmentation in competences,2,Bxl,DI,Barrier,Fragmentation of competences,1
Sometimes different views between the communities,2,Bxl,DI,Barrier,Fragmentation of competences,1
GDPR,2,Bxl,DI,Barrier,Impact of data protection,0
"Each project has to appoint its own DPO to collect, process, store electronic data, etc., national legal framework is lacking",2,Bxl,DI,Barrier,Impact of data protection,0
"Unclear how legislation on access to patient file can be reconciled with digitisation, guidelines, legal framework needed",2,Bxl,DI,Barrier,Impact of data protection,0
High willingness in the field to share data,2,Bxl,DI,Facilitator,Culture change/incentives,2
Digitisation avoids duplication of work,2,Bxl,DI,Facilitator,Culture change/incentives,2
Strong sectoral will but lack of means and vision at BXL Region level,2,Bxl,DI,Facilitator,Culture change/incentives,2
Fear among health care providers of using electronic records,2,Bxl,DI,Barrier,Culture change/incentives,2
Sectoral conservatism,2,Bxl,DI,Barrier,Culture change/incentives,2
Shared records ensure that integrated care is possible,2,Bxl,DI,Facilitator,Importance EPD/DEP,0
Certain applications can be offered by the government,2,Bxl,DI,Facilitator,Importance EPD/DEP,0
Transmission of data to various health professionals,2,Bxl,DI,Facilitator,Functional limitations,0
"Initiatives often 1 on 1, not sharing things with several people at once",2,Bxl,DI,Barrier,Functional limitations,0
Few possibilities for multidisciplinary team. too often thought of from the perspective of individual GP,2,Bxl,DI,Barrier,Functional limitations,0
Different applications are limited to one or a group of disorders,2,Bxl,DI,Barrier,Functional limitations,0
"Hybrid working (digital care and regular care) is not always possible from a regulatory point of view. So even with the necessary infrastructure in place, we must also ensure that we can work optimally digitally within a regulatory framework",2,Bxl,DI,Barrier,Functional limitations,0
Digitalisation of multidisciplinary consultation improves the quality of care; both partners from the first and second line can sit around the table,2,Bxl,DI,Facilitator,MDO,0
Multidisciplinary consultation as a standard of quality of care,2,Bxl,DI,Facilitator,MDO,0
COVID has accelerated digital cooperation/accelerated digital thinking among customers and employees,2,Bxl,DI,Facilitator,COVID Experience,0
"Focus on open access databases, such as Social Brussels, anyone can use their database",2,Bxl,DI,Barrier,,0
Cultural difference between north and south in terms of uptake of electronic data sharing,2,Bxl,DI,Barrier,,0
"Bilingualism within exchangeable files needed, how to organise this",2,Bxl,DI,Barrier,,0
Better understanding of the patient's medico-social problems for better care at all levels of the health pyramid,2,Bxl,DI,Facilitator,,0
Providing a supported plan of action,2,Bxl,DI,Facilitator,,0
Good practices as examples,2,Bxl,DI,Facilitator,,0
Little knowledge of evaluation methods,2,Bxl,CB,Barrier,Evaluation and research,0
Competence in mental health,2,Bxl,CB,Barrier,Knowledge of (or by) sectors,0
Lack of a first line,2,Bxl,CB,Barrier,Knowledge of (or by) sectors,0
Multiculturalism competence,2,Bxl,CB,Barrier,Multiculturalism,1
Diverse and varied competence because of the variety of associations,2,Bxl,CB,Facilitator,Use of practical experience,0
Interesting results in practice,2,Bxl,CB,Facilitator,Use of practical experience,0
Enormous wealth of individual commitment and competence (including from different cultures and life experiences),2,Bxl,CB,Facilitator,Use of practical experience,0
Quality of care,2,Bxl,CB,Facilitator,Use of practical experience,0
Some specific skills not widely used (frequency),2,Bxl,CB,Barrier,Use of practical experience,0
Course offering in VIVEL (will be further developed in the coming years),2,Bxl,CB,Facilitator,Training availability,0
Education and training are still not structurally embedded enough,2,Bxl,CB,Barrier,Training availability,0
Lack of time (for trainers and for trainees),2,Bxl,CB,Barrier,Training availability,0
Basic training for health professionals ,2,Bxl,CB,Barrier,Training availability,0
Thinking from care goals and life goals instead of just from care tasks,2,Bxl,CB,Facilitator,Thinking from the needs/specificity of patients,3
No/no more global vision of the patient = obstacle in the process,2,Bxl,CB,Barrier,Thinking from the needs/specificity of patients,3
"Patient is not always the focus, often the system prevails",2,Bxl,CB,Barrier,Thinking from the needs/specificity of patients,3
Poor knowledge of people with a loss of autonomy in the Brussels region because there is no mapping of needs and therefore we don't know what skills we need,2,Bxl,CB,Barrier,Thinking from the needs/specificity of patients,3
Provide interdisciplinary training,2,Bxl,CB,Facilitator,Cooperation,1
Cooperation across care lines must be further shaped,2,Bxl,CB,Barrier,Cooperation,0
Lack of focus on transmural care in training e.g. internships always within the same institution,2,Bxl,CB,Barrier,Cooperation,0
Lack of porosity of structures to learn from each other (live my life journey and/or secondment of staff),2,Bxl,CB,Barrier,Cooperation,0
"Accreditation. could be much broader, other disciplines, other themes",2,Bxl,CB,Facilitator,Incentives and motivation,0
Many places of learning: school/ unif/ training centre ....,2,Bxl,CB,Facilitator,Incentives and motivation,0
Provide incentives,2,Bxl,CB,Facilitator,Incentives and motivation,0
Few resources for developing competences despite the call for lifelong learning,2,Bxl,CB,Barrier,Lack of resources,1
Little investment in human resources to do population management,2,Bxl,CB,Barrier,Lack of resources,0
"Family care sector has very little support and training,yet they are often on the front line and could be an important player in the integration of care",2,Bxl,CB,Barrier,Sectoral imbalances/needs,0
Labour market tightness,2,Bxl,CB,Barrier,,0
Little investment in researchers on the subject,2,Bxl,CB,Barrier,,0
Education not sufficiently adjusted to the work field,2,Bxl,CB,Barrier,,0
Lack of interest,2,Bxl,CB,Barrier,,0
"Relevance in the ""solutions"" given",2,Bxl,CB,Facilitator,,0
More consultation and exchange between education and the professional field,2,Bxl,CB,Facilitator,,0
Caregivers need to undergo continuous training; topics related to integrated care or digitalisation can be discussed,2,Bxl,CB,Facilitator,,0
Motivation of some professionals,2,Bxl,CB,Facilitator,,0
Tool exists elsewhere and works,2,Bxl,CB,Facilitator,,0
Valorization,2,Bxl,CB,Facilitator,,0
Developing care paths in co-creation,2,Bxl,CB,Facilitator,,0
Lack of a clear strategy in the long term is blocking the decision to make funding permanent,3,Bxl,FF,Barrier,Shared long term vision (including taking short-term risks),0
Takes time to recover investment as profit,3,Bxl,FF,Barrier,Shared long term vision (including taking short-term risks),0
Lack of alignment between policy levels,3,Bxl,FF,Barrier,Shared long term vision (including taking short-term risks),0
Uncertainty about the return on investment,3,Bxl,FF,Barrier,Shared long term vision (including taking short-term risks),0
Sustainable funding case consultation,3,Bxl,FF,Facilitator,Shared long term vision (including taking short-term risks),0
"Multi-year trajectory budget NIHDI: long-term vision, paying attention to integrated care, mental health care,...",3,Bxl,FF,Facilitator,Shared long term vision (including taking short-term risks),0
Know how to leave the pilot phase to enter a more structural phase,3,Bxl,FF,Facilitator,Shared long term vision (including taking short-term risks),0
Adopt a funding model that allows for flexibility of interventions/benefits to remain focused on the needs of the patient...,3,Bxl,FF,Facilitator,"Flexible funding system (including reactivity,...)",1
To finance the services and associations that are already working in this field in order to develop pilot projects,3,Bxl,FF,Facilitator,"Flexible funding system (including reactivity,...)",1
"The forfetary funding of medical homes has shown for decades that funding can be different. E.g., to a mixed system",3,Bxl,FF,Facilitator,"Flexible funding system (including reactivity,...)",2
"Through flat-rate (forfetary) financing, a logic emerges whereby care responsibility is linked to a population (a group of people living in a primary care zone/municipality). So that practices can also organize care from population data",3,Bxl,FF,Facilitator,"Flexible funding system (including reactivity,...)",1
"Through forfetary financing, there is no competition for certain services that are necessary to obtain a fair income",3,Bxl,FF,Facilitator,"Flexible funding system (including reactivity,...)",1
take into account the coordination of projects and networking and its financing,3,Bxl,FF,Facilitator,Coordination of funding,0
For the financing of case management (financing a pool of case managers vs. financing a function that any provider can take),3,Bxl,FF,Facilitator,Coordination of funding,0
Funding mainly for pilot projects,3,Bxl,FF,Facilitator,Funding logic,3
"NIHDI: focus on more transversal approach to care (holistic) (e.g., integrated care, mental health care)",3,Bxl,FF,Facilitator,Funding logic,3
"Flemish social protection increases accessibility, keep gthat in mind when making/adapting regions",3,Bxl,FF,Facilitator,Funding logic,3
Stubbornly sticking to a performance logic in approaching funding. Instead of making a transition to a funding of care populations,3,Bxl,FF,Barrier,Funding logic,3
Funding parasitism of regions/communities vis-à-vis federal government,3,Bxl,FF,Barrier,Funding logic,3
Lack of identification of added value of data,3,Bxl,FF,Barrier,Availability and proper use of data,2
"correct, exhausitive and standardized dataset",3,Bxl,FF,Facilitator,Availability and proper use of data,2
Co-construct monitoring indicators (including financial ones) with the social/health sectors: to promote alignment of objectives and then data collection and analysis,3,Bxl,FF,Facilitator,Availability and proper use of data,2
Lack of supported scaling tools,3,Bxl,FF,Barrier,Availability and proper use of data,2
"No correct, exhaustive, and validated data registration that means the same thing for everyone ",3,Bxl,FF,Barrier,Availability and proper use of data,2
"Unequal financial incentives between federal, federated governments and patients",3,Bxl,FF,Barrier,Funding logic,3
Heterogeneous competence packages around care and welfare,3,Bxl,FF,Barrier,Funding logic,3
limited budget: no budget can be allocated for any purpose and the budget for pilot projects is limited,3,Bxl,FF,Barrier,Funding logic,3
"Create new, more direct funding channels",3,Bxl,FF,Facilitator,Funding logic,3
Differences between the two federated entities,3,Bxl,RI,Barrier,,0
"Everything must be on paper, aggravates everything, need for freedom of expression and common sense",3,Bxl,RI,Barrier,,0
Numerous legal obstacles that make interdisciplinary cooperation impossible or force it to operate in a gray legal zone,3,Bxl,RI,Barrier,Collaboration,1
"Everyone knows the words, but points fingers at each other, negative change culture, conservative attitude",3,Bxl,RI,Barrier,Collaboration,1
"co-construction and not removal of obstacles (cfr community of practice) - diapason,...)",3,Bxl,RI,Barrier,Collaboration,1
"No correct, exhaustive, and validated data registration that means the same thing for everyone ",3,Bxl,RI,Barrier,Rules of the game,0
Commercialization of patient data that allows for debate over who owns the patient data between the practice and the provider of an EMD,3,Bxl,RI,Barrier,Rules of the game,0
no knowledge and no tools to do self-evaluation,3,Bxl,RI,Barrier,Methods/tools for evaluation,0
"Uncertainty about who should provide an answer to this (federal, federated entities, etc.)",3,Bxl,RI,Barrier,Division of powers,1
Obsession with networked work,3,Bxl,RI,Barrier,Division of powers,1
the state reform - the Regions/Communities form a superfluous stage,3,Bxl,RI,Barrier,Division of powers,2
Re-federalize (including those from 1980 ==> welfare back upwards) Or at least establish a legal hierarchy (federal goes above Regions/Communities),3,Bxl,RI,Facilitator,Division of powers,3
"need for meso/macro vision and understanding of the global system, while there is little attention to this in the training of health care providers",3,Bxl,RI,Barrier,Preconditions,
The lack of an integrated electronic medical record in which different healthcare professionals/disciplines can work together in a patient file,3,Bxl,RI,Barrier,Preconditions,1
"Equip providers and associations with the means to adopt reflective approaches (time, methods, workers)",3,Bxl,RI,Facilitator,Preconditions,1
timely detection of obstacle and time needed to deal with it and find a solution,3,Bxl,RI,Barrier,Action plan for obstacle management,0
"if problems are known, they can be anticipated",3,Bxl,RI,Facilitator,Action plan for obstacle management,0
need for: functions and tools for actively capturing problems (experts by experience),3,Bxl,RI,Facilitator,Action plan for obstacle management,0
Allow pilot projects outside the framework of strict funding,3,Bxl,IM,Facilitator,,0
education is a competency of the federated entities,3,Bxl,IM,Barrier,,1
Involve all policies => Health in all policies (e.g. mobility of home care providers in pedestrian areas),3,Bxl,IM,Facilitator,,1
initiatives mainly at micro and meso level. global communication campaign on integrated care can facilitate,3,Bxl,IM,Barrier,,0
"The many reports, studies and projects that have already been carried out are constantly being pushed aside because there seems to be little will to remove the fundamental obstacles in the care system. Everyone likes to talk about integrated care, but few dare to act on it.",3,Bxl,IM,Barrier,Sustainability,0
Difficulty in involving a whole structure in an innovation: need for legitimacy of workers to adopt the innovation,3,Bxl,IM,Barrier,Sustainability,0
"no correct, exhaustive and validated data records that mean the same thing to everyone ",3,Bxl,IM,Facilitator,,0
Drawing on successful models from abroad (hospital at home abroad) ,3,Bxl,IM,Facilitator,,0
"in pilot integrated care projects, there are already many training courses, both for patients and for healthcare providers. there is also cooperation with a university/college of higher education.",3,Bxl,IM,Facilitator,Competencies,0
"There are training courses, but not systematically. The fact that there are already initiatives and that the philosophy is known is already a first step.",3,Bxl,IM,Facilitator,Competencies,0
"Takes time, step by step",3,Bxl,IM,Barrier,Sustainability,0
genuinely seek patients' views and check that they have understood,4,Bxl,CE,Barrier,,0
Patient empowerment is preceded by the empowerment of healthcare providers within healthcare organisations. Lack of participation culture within a care organisation can be an obstacle to patient empowerment.,4,Bxl,CE,Barrier,,0
Empowering patients also requires a health approach in all policies => e.g. coherent mobility policy with care in the patient's place of living,4,Bxl,CE,Barrier,,0
Involve informal carers in care decisions as well ,4,Bxl,CE,Facilitator,,0
In the Netherlands panel of chronically ill,4,Bxl,CE,Facilitator,,0
Creating a supportive framework for patient autonomy ,4,Bxl,CE,Facilitator,,0
"More coordination - care pathways - trajectories e.g. standard care plan, care plan disorder X, Y, Z ",4,Bxl,CE,Facilitator,,0
Healthcare providers sometimes feel threatened by an empowered patient,4,Bxl,CE,Barrier,Mindshift,2
Need for attitude/culture change among healthcare providers and patients,4,Bxl,CE,Barrier,Mindshift,2
"citizens' awareness that they are in control: this has not yet penetrated through to all citizens, let alone all care providers",4,Bxl,CE,Barrier,Mindshift,2
"there is a need for a change in mentality: the whole concept of integrated care is insufficiently known, both among citizens and among professionals",4,Bxl,CE,Barrier,Mindshift,2
Health literacy,4,Bxl,CE,Barrier,Competencies,2
lack of training,4,Bxl,CE,Barrier,Competencies,1
insufficient motivation and/or competences to take control themselves,4,Bxl,CE,Barrier,Competencies,2
"knowledge of reliable sources of information (information versus disinformation), mainly among citizens, but sometimes also among professionals",4,Bxl,CE,Barrier,Competencies,1
"Sufficient skills: citizens who are allowed to speak, must be able / dare to do so (not everyone does), care providers must 'accept' this and also be able to deal with it. the citizen may have a different opinion that is of equal value. Communicating respectfully, reaching a decision together, respecting each other, acting in a culturally sensitive way (that is: the other person has a different norm and value framework than me, therefore not better or worse, but different)...",4,Bxl,CE,Barrier,Competencies,1
involvement of patients in initial and continuing education,4,Bxl,CE,Facilitator,Competencies,1
health literacy for both professionals and citizens,4,Bxl,CE,Facilitator,Competencies,1
"Adequate training of citizens, but certainly also professionals (communication, recognising quality information, taking decisions in an informed manner, etc.). )",4,Bxl,CE,Facilitator,Competencies,1
Promote goal-oriented Care approach to ALL providers,4,Bxl,CE,Facilitator,Competencies,3
Lack of sense of responsibility of the person seeking care,4,Bxl,CE,Barrier,Creating support base,2
Are all patients ready? Are all doctors and healthcare providers ready?,4,Bxl,CE,Barrier,Creating support base,2
Mastering the language by the patient,4,Bxl,CE,Barrier,Competencies,1
Create mutual understanding for each other's views and visions,4,Bxl,CE,Facilitator,Creating support base,2
"Strengthen support from patients and doctors, healthcare providers",4,Bxl,CE,Facilitator,Creating support base,2
Does our funding system encourage self-direction? - empowerment? (performance funding) ,4,Bxl,CE,Barrier,Finance,5
Unclear how funding in this section can be tilted,4,Bxl,CE,Barrier,Finance,5
"Person-following funding: we do think that there are downsides to this as well, more suitable for the higher educated than the lower educated, good for those who are in it, less for those who are in the queue, very complex, either you are highly educated yourself or you need a coordinator who also has to be paid.",4,Bxl,CE,Barrier,Finance,5
Digitbet,4,Bxl,CE,Barrier,Vulnerable groups,1
Digital gap,4,Bxl,CE,Barrier,Vulnerable groups,3
"The digital gap has been widened by covid, among other things: services are digital, access to information is often only digital: not everyone has mastered that.",4,Bxl,CE,Barrier,Vulnerable groups,1
Reduced access to IT resources for certain groups of the population ,4,Bxl,CE,Barrier,Vulnerable groups,1
"Digital gap. Digitalisation is fantastic for the highly educated, younger generations, but there is a huge gap. Reinforced also in corona",4,Bxl,CE,Barrier,Vulnerable groups,1
"Low-literacy patients, vulnerable patients, patients from other cultural backgrounds",4,Bxl,CE,Barrier,Vulnerable groups,1
Increasing health literacy,4,Bxl,CE,Facilitator,Vulnerable groups,1
working proactively towards vulnerable target groups (cf. community health workers),4,Bxl,CE,Facilitator,Vulnerable groups,1
unclear health care landscape for patients,4,Bxl,CE,Barrier,Information/Sensibilisation,5
Little information on what exists,4,Bxl,CE,Barrier,Information/Sensibilisation,5
"There is a lot for the large groups of diseases diabetes, cancer, for niches or less known diseases there is much less available for self-management - empowerment",4,Bxl,CE,Barrier,Information/Sensibilisation,5
inclusive communication,4,Bxl,CE,Facilitator,Information/Sensibilisation,5
